"Analise do Comportamento do Algoritmo: AntSystem-TSP"
""
"Numero de Formigas";"10";"Q";"1,0000"
"Alfa";"1,00";"Beta";"2,00"
"Quantidade Inicial de Feromonio";"0,10";"Taxa de Evaporacao";"0,30"
"Maximo de Iteracoes";"50";"Maximo de Execucoes";"1"
""
"Nos Selecionados";"[C2, C4, C5, C6, C1, C3]";"Tempo de Execucao";"[00:00:104]"
"Custo Total";"21,0000";"Tempo de Execucao (ms)";"104"
""
"";"Iteracao 1";"Iteracao 2";"Iteracao 3";"Iteracao 4";"Iteracao 5";"Iteracao 6";"Iteracao 7";"Iteracao 8";"Iteracao 9";"Iteracao 10";"Iteracao 11";"Iteracao 12";"Iteracao 13";"Iteracao 14";"Iteracao 15";"Iteracao 16";"Iteracao 17";"Iteracao 18";"Iteracao 19";"Iteracao 20";"Iteracao 21";"Iteracao 22";"Iteracao 23";"Iteracao 24";"Iteracao 25";"Iteracao 26";"Iteracao 27";"Iteracao 28";"Iteracao 29";"Iteracao 30";"Iteracao 31";"Iteracao 32";"Iteracao 33";"Iteracao 34";"Iteracao 35";"Iteracao 36";"Iteracao 37";"Iteracao 38";"Iteracao 39";"Iteracao 40";"Iteracao 41";"Iteracao 42";"Iteracao 43";"Iteracao 44";"Iteracao 45";"Iteracao 46";"Iteracao 47";"Iteracao 48";"Iteracao 49";"Iteracao 50"
"BetterSolution";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"24,0000";"21,0000";"21,0000";"22,0000";"22,0000";"24,0000";"23,0000";"24,0000";"21,0000";"22,0000";"25,0000";"24,0000";"24,0000";"22,0000";"24,0000";"25,0000";"25,0000";"25,0000";"22,0000";"24,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000"
"WorstSolution";"29,0000";"32,0000";"26,0000";"28,0000";"25,0000";"26,0000";"27,0000";"25,0000";"30,0000";"28,0000";"28,0000";"25,0000";"27,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"30,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000"
"Average";"24,5000";"25,5000";"23,9000";"24,7000";"24,0000";"24,9000";"24,4000";"23,8000";"24,7000";"24,4000";"25,4000";"24,7000";"24,9000";"24,5000";"24,6000";"25,0000";"24,8000";"24,9000";"25,1000";"24,8000";"25,0000";"25,0000";"25,0000";"24,7000";"24,9000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000";"25,0000"
"StandardDeviation";"2,2913";"2,8723";"1,5780";"1,6763";"1,3416";"0,5385";"1,4283";"1,4697";"2,1000";"1,6248";"1,3565";"0,6403";"0,8307";"1,2042";"0,9165";"0,0000";"0,4000";"0,3000";"1,8682";"0,4000";"0,0000";"0,0000";"0,0000";"0,9000";"0,3000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000"
"Elitism";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000";"21,0000"
