"Analise do Comportamento do Algoritmo: AntSystem-TSP"
""
"Numero de Formigas";"50";"Q";"1,0000"
"Alfa";"1,00";"Beta";"1,00"
"Quantidade Inicial de Feromonio";"0,10";"Taxa de Evaporacao";"0,30"
"Maximo de Iteracoes";"10";"Maximo de Execucoes";"1"
""
"Nos Selecionados";"[C2, C3, C6, C1, C4, C5]";"Tempo de Execucao";"[00:00:154]"
"Custo Total";"14,0000";"Tempo de Execucao (ms)";"154"
""
"";"Iteracao 1";"Iteracao 2";"Iteracao 3";"Iteracao 4";"Iteracao 5";"Iteracao 6";"Iteracao 7";"Iteracao 8";"Iteracao 9";"Iteracao 10"
"BetterSolution";"16,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000"
"WorstSolution";"38,0000";"38,0000";"29,0000";"27,0000";"29,0000";"23,0000";"25,0000";"25,0000";"17,0000";"22,0000"
"Average";"24,9400";"20,3400";"18,5400";"16,3800";"16,5600";"14,9800";"14,5800";"14,9800";"14,1600";"14,4400"
"StandardDeviation";"4,5800";"5,1405";"4,6657";"3,7836";"4,1865";"2,3621";"1,7446";"2,5651";"0,6437";"1,4988"
"Elitism";"16,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000"
