"Analise do Comportamento do Algoritmo: AntSystem-TSP"
""
"Numero de Formigas";"30";"Q";"1,0000"
"Alfa";"1,00";"Beta";"1,00"
"Quantidade Inicial de Feromonio";"0,10";"Taxa de Evaporacao";"0,30"
"Maximo de Iteracoes";"10";"Maximo de Execucoes";"1"
""
"Nos Selecionados";"[C2, C3, C6, C1, C4, C5]";"Tempo de Execucao";"[00:00:089]"
"Custo Total";"14,0000";"Tempo de Execucao (ms)";"89"
""
"";"Iteracao 1";"Iteracao 2";"Iteracao 3";"Iteracao 4";"Iteracao 5";"Iteracao 6";"Iteracao 7";"Iteracao 8";"Iteracao 9";"Iteracao 10"
"BetterSolution";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000"
"WorstSolution";"32,0000";"29,0000";"27,0000";"21,0000";"25,0000";"25,0000";"25,0000";"25,0000";"18,0000";"17,0000"
"Average";"24,0333";"17,6667";"17,0667";"14,5667";"16,1667";"14,9333";"14,9000";"14,9333";"14,2333";"14,2333"
"StandardDeviation";"5,1282";"4,8534";"4,3965";"1,4761";"4,1720";"2,7317";"2,7731";"2,4349";"0,8825";"0,7608"
"Elitism";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000"
