"Analise do Comportamento do Algoritmo: AntSystem-TSP"
""
"Numero de Formigas";"10";"Q";"1,0000"
"Alfa";"1,00";"Beta";"1,00"
"Quantidade Inicial de Feromonio";"0,10";"Taxa de Evaporacao";"0,30"
"Maximo de Iteracoes";"50";"Maximo de Execucoes";"1"
""
"Nos Selecionados";"[C2, C3, C6, C1, C4, C5]";"Tempo de Execucao";"[00:00:102]"
"Custo Total";"14,0000";"Tempo de Execucao (ms)";"102"
""
"";"Iteracao 1";"Iteracao 2";"Iteracao 3";"Iteracao 4";"Iteracao 5";"Iteracao 6";"Iteracao 7";"Iteracao 8";"Iteracao 9";"Iteracao 10";"Iteracao 11";"Iteracao 12";"Iteracao 13";"Iteracao 14";"Iteracao 15";"Iteracao 16";"Iteracao 17";"Iteracao 18";"Iteracao 19";"Iteracao 20";"Iteracao 21";"Iteracao 22";"Iteracao 23";"Iteracao 24";"Iteracao 25";"Iteracao 26";"Iteracao 27";"Iteracao 28";"Iteracao 29";"Iteracao 30";"Iteracao 31";"Iteracao 32";"Iteracao 33";"Iteracao 34";"Iteracao 35";"Iteracao 36";"Iteracao 37";"Iteracao 38";"Iteracao 39";"Iteracao 40";"Iteracao 41";"Iteracao 42";"Iteracao 43";"Iteracao 44";"Iteracao 45";"Iteracao 46";"Iteracao 47";"Iteracao 48";"Iteracao 49";"Iteracao 50"
"BetterSolution";"16,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000"
"WorstSolution";"35,0000";"27,0000";"25,0000";"26,0000";"29,0000";"22,0000";"14,0000";"14,0000";"16,0000";"16,0000";"22,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000"
"Average";"23,9000";"20,8000";"15,8000";"16,0000";"15,7000";"15,2000";"14,0000";"14,0000";"14,2000";"14,2000";"14,8000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000"
"StandardDeviation";"5,2048";"5,3066";"3,7094";"4,0988";"4,4733";"2,5612";"0,0000";"0,0000";"0,6000";"0,6000";"2,4000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000"
"Elitism";"16,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000"
