"Analise do Comportamento do Algoritmo: AntSystem-TSP"
""
"Numero de Formigas";"30";"Q";"1,0000"
"Alfa";"1,00";"Beta";"2,00"
"Quantidade Inicial de Feromonio";"0,10";"Taxa de Evaporacao";"0,30"
"Maximo de Iteracoes";"50";"Maximo de Execucoes";"1"
""
"Nos Selecionados";"[C2, C3, C6, C1, C4, C5]";"Tempo de Execucao";"[00:00:132]"
"Custo Total";"14,0000";"Tempo de Execucao (ms)";"132"
""
"";"Iteracao 1";"Iteracao 2";"Iteracao 3";"Iteracao 4";"Iteracao 5";"Iteracao 6";"Iteracao 7";"Iteracao 8";"Iteracao 9";"Iteracao 10";"Iteracao 11";"Iteracao 12";"Iteracao 13";"Iteracao 14";"Iteracao 15";"Iteracao 16";"Iteracao 17";"Iteracao 18";"Iteracao 19";"Iteracao 20";"Iteracao 21";"Iteracao 22";"Iteracao 23";"Iteracao 24";"Iteracao 25";"Iteracao 26";"Iteracao 27";"Iteracao 28";"Iteracao 29";"Iteracao 30";"Iteracao 31";"Iteracao 32";"Iteracao 33";"Iteracao 34";"Iteracao 35";"Iteracao 36";"Iteracao 37";"Iteracao 38";"Iteracao 39";"Iteracao 40";"Iteracao 41";"Iteracao 42";"Iteracao 43";"Iteracao 44";"Iteracao 45";"Iteracao 46";"Iteracao 47";"Iteracao 48";"Iteracao 49";"Iteracao 50"
"BetterSolution";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000"
"WorstSolution";"34,0000";"25,0000";"17,0000";"25,0000";"25,0000";"17,0000";"17,0000";"17,0000";"17,0000";"17,0000";"17,0000";"17,0000";"14,0000";"14,0000";"14,0000";"17,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000"
"Average";"18,5333";"15,2333";"14,4000";"14,4000";"14,7000";"14,2000";"14,1667";"14,2000";"14,2667";"14,1333";"14,1000";"14,1000";"14,0000";"14,0000";"14,0000";"14,1000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000"
"StandardDeviation";"4,9311";"2,4857";"0,8000";"1,9765";"2,0518";"0,6532";"0,5821";"0,7483";"0,8138";"0,5617";"0,5385";"0,5385";"0,0000";"0,0000";"0,0000";"0,5385";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000"
"Elitism";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000";"14,0000"
